Categorie,Feature,Descriere,Complexitate,Valoare_Estimata_EUR,Status
"Frontend","Homepage cu categorii","Homepage cu secțiuni pentru SUV Sedan Electric/Hibrid",3,500,"Implementat"
"Frontend","Catalog cu filtre avansate","Catalog cu filtre pentru brand preț an kilometraj combustibil transmisie culoare",5,800,"Implementat"
"Frontend","Paginare și sortare","Sortare după preț an kilometraj featured newest",2,200,"Implementat"
"Frontend","Detalii vehicul","Pagină detaliată cu toate informațiile vehiculului",4,600,"Implementat"
"Frontend","Sistem de căutare","Căutare în brand model titlu descriere",3,300,"Implementat"
"Frontend","Responsive design","Design adaptat pentru mobile tablet desktop",4,400,"Implementat"
"Frontend","Navigare cu meniu","Meniu principal cu linkuri către toate secțiunile",2,150,"Implementat"
"Frontend","Footer informativ","Footer cu informații de contact și linkuri",2,100,"Implementat"
"Frontend","Buton Vinde mașina","Buton prominent pentru vânzarea mașinilor",2,200,"Implementat"
"Frontend","Buton Vehicule vândute","Buton pentru vizualizarea mașinilor vândute",2,150,"Implementat"
"Frontend","Sistem mașini salvate","Funcționalitate pentru salvarea mașinilor favorite",4,500,"Implementat"
"Frontend","Formular contact","Formular de contact cu validare",3,250,"Implementat"
"Frontend","Pagină despre noi","Pagină cu informații despre companie",2,150,"Implementat"
"Frontend","Pagină vinde mașina","Formular complet pentru vânzarea mașinilor",5,700,"Implementat"
"Frontend","Design modern cu Bootstrap","Interfață modernă cu Bootstrap 5.3.3",4,400,"Implementat"
"Frontend","Iconițe Bootstrap Icons","Iconițe moderne pentru toate elementele",2,100,"Implementat"
"Frontend","Animații și efecte","Animații CSS și efecte hover",3,200,"Implementat"
"Frontend","Loading states","Stări de încărcare pentru formulare",2,150,"Implementat"
"Frontend","Validare client-side","Validare JavaScript pentru formulare",3,250,"Implementat"
"Backend","Sistem autentificare","Sistem complet de login/register cu Laravel Breeze",4,600,"Implementat"
"Backend","Model Vehicle complet","Model cu toate câmpurile pentru vehicule",5,800,"Implementat"
"Backend","Model User cu relații","Model User cu relații către mașini salvate",3,300,"Implementat"
"Backend","Model ContactMessage","Model pentru mesajele de contact",2,150,"Implementat"
"Backend","Model Inquiry","Model pentru cererile de test drive",2,150,"Implementat"
"Backend","Model SavedVehicle","Model pentru mașinile salvate de utilizatori",3,250,"Implementat"
"Backend","Model Testimonial","Model pentru testimoniale clienți",2,150,"Implementat"
"Backend","Controller Home","Controller pentru homepage cu categorii",3,300,"Implementat"
"Backend","Controller Catalog","Controller cu filtre avansate și sortare",5,700,"Implementat"
"Backend","Controller Vehicle","Controller pentru afișarea detaliilor vehiculelor",4,500,"Implementat"
"Backend","Controller Contact","Controller pentru formularul de contact",2,200,"Implementat"
"Backend","Controller SellCar","Controller pentru vânzarea mașinilor",4,600,"Implementat"
"Backend","Controller Inquiry","Controller pentru cererile de test drive",2,200,"Implementat"
"Backend","Upload imagini","Upload și gestionare imagini cu Storage",4,500,"Implementat"
"Backend","Slug generation","Generare automată slug-uri pentru vehicule",2,150,"Implementat"
"Backend","Validare formulare","Validare completă pentru toate formularele",3,300,"Implementat"
"Backend","Migrații baza de date","Migrații complete pentru toate tabelele",4,400,"Implementat"
"Backend","Seeders","Seeders pentru date de test",2,150,"Implementat"
"Backend","Factory pentru teste","Factory pentru generarea datelor de test",2,150,"Implementat"
"Backend","Sistem de rute","Configurare completă rute cu middleware",3,250,"Implementat"
"Backend","Middleware autentificare","Protecție rute admin cu middleware",2,150,"Implementat"
"Backend","CSRF protection","Protecție CSRF pentru toate formularele",2,100,"Implementat"
"Backend","Error handling","Gestionare erori și logging",3,200,"Implementat"
"Admin","Dashboard cu statistici","Dashboard cu statistici complete",5,800,"Implementat"
"Admin","Gestionare vehicule","CRUD complet pentru vehicule",6,1000,"Implementat"
